Channel 1	Channel 2	Channel 3	Channel 4
48.324896	57.094142	61.688404	70.494311
51.446518	57.209171	62.834802	71.292486
52.947039	58.818639	62.490972	71.520466
52.831671	58.244029	63.522234	68.325900
50.522325	58.014123	63.293124	69.353398
55.022076	58.818639	63.522234	69.125120
51.100017	59.048421	65.811498	71.976333
54.215474	60.426377	64.667281	72.887700
53.984933	59.737556	64.552814	73.001587
55.943357	62.261710	67.069189	72.090281
56.749002	62.376345	69.467524	75.277734
55.713092	60.196805	67.754788	72.659904
57.554204	60.885417	69.581643	75.732605
58.703735	64.896191	69.239263	74.140035
55.828229	62.147066	70.608360	73.001587
56.749002	61.688404	70.380255	73.570905
55.597945	65.811498	69.010970	74.936502
58.588821	65.239493	71.976333	77.323730
58.588821	63.522234	71.976333	76.641995
58.933534	67.297754	72.432078	75.391463
59.967198	65.239493	72.773806	78.005205
60.311595	65.582721	70.608360	76.755635
60.196805	67.983257	72.659904	80.501746
62.032413	66.383298	71.520466	79.480848
61.344319	65.582721	74.367635	79.253904
60.196805	69.923953	72.318153	81.408736
63.063980	67.526287	73.912406	78.118758
64.781740	69.581643	73.229337	82.088688
64.552814	69.581643	73.798580	79.367379
65.010633	69.581643	74.026224	81.295387
65.010633	69.695754	74.936502	81.975380
65.239493	71.634444	77.323730	81.975380
63.293124	70.380255	78.232305	80.388341
65.468320	72.090281	76.869269	81.068667
67.754788	73.684746	77.778075	82.541851
66.040243	71.634444	79.594309	82.768392
66.497634	71.634444	80.501746	83.108153
68.097479	73.343201	77.550917	85.484780
69.010970	73.001587	79.253904	86.502440
65.925874	76.073681	79.934651	83.221393
68.554288	73.001587	81.522078	86.163279
69.467524	73.457057	81.975380	84.353421
67.526287	76.187359	80.048084	88.197369
68.782645	74.822744	79.707763	87.745530
71.634444	76.869269	82.088688	88.197369
69.467524	74.822744	79.934651	85.597880
72.318153	78.345845	81.182030	86.163279
71.634444	75.163997	81.182030	88.084419
72.887700	78.459377	83.447852	86.728514
71.976333	76.755635	84.466586	88.084419
72.432078	77.323730	84.353421	89.439403
73.684746	77.437327	84.466586	91.695704
74.367635	81.182030	83.447852	89.326523
72.545995	81.862065	85.032316	92.597534
72.659904	80.615144	83.787491	90.567864
76.641995	78.572902	87.745530	90.229391
74.026224	82.088688	85.937139	90.229391
